adwaita-icon-theme-40.0-1
alsa-card-profiles-1:0.3.26-1
aom-3.0.0-2
apparmor-3.0.1-2
archlinux-appstream-data-20210423-1
attica-5.81.0-1
avahi-0.8+20+gd1e71b3-1
baloo-5.81.0-1
bison-3.7.6-1
bluedevil-1:5.21.4-1
bluez-5.58-1
bluez-libs-5.58-1
bluez-qt-5.81.0-1
bluez-utils-5.58-1
boost-1.75.0-3
boost-libs-1.75.0-3
breeze-5.21.4-1
breeze-gtk-5.21.4-1
breeze-icons-5.81.0-1
btrfs-progs-5.11.1-1
ca-certificates-mozilla-3.64-1
cabal-install-3.2.0.0-221
ccls-0.20210330-1
cifs-utils-6.13-2
cmake-3.20.1-1
cryptsetup-2.3.5-4
curl-7.76.1-1
dbus-glib-0.112-1
ddcutil-1.1.0-1
discover-5.21.4-2
drkonqi-5.21.4-1
electron-12.0.5-1
emacs-27.2-1
expat-2.3.0-1
ffmpeg-2:4.3.2-6
file-5.40-2
filelight-21.04.0-1
fontconfig-2:2.13.93-4
frameworkintegration-5.81.0-1
fuse-common-3.10.3-1
fuse3-3.10.3-1
fzf-0.27.0-1
gcr-3.40.0-1
gdk-pixbuf2-2.42.6-1
git-2.31.1-1
glib-networking-1:2.68.1-1
glib2-2.68.1-1
glib2-docs-2.68.1-1
gnome-keyring-1:40.0-1
go-2:1.16.3-1
graphene-1.10.6-1
groff-1.22.4-5
gsettings-desktop-schemas-40.0-3
gst-plugins-good-1.18.4-2
gtk-update-icon-cache-1:4.2.0-5
gtk3-1:3.24.29-1
guile-2.2.7-1
harfbuzz-2.8.0-3
harfbuzz-icu-2.8.0-3
haskell-adjunctions-4.4-231
haskell-aeson-1.5.6.0-18
haskell-ansi-terminal-0.11-112
haskell-ansi-wl-pprint-0.6.9-172
haskell-appar-0.1.8-10
haskell-asn1-encoding-0.9.6-106
haskell-asn1-parse-0.9.5-106
haskell-asn1-types-0.3.4-85
haskell-assoc-1.0.2-75
haskell-async-2.2.3-32
haskell-attoparsec-0.14.1-6
haskell-attoparsec-iso8601-1.0.2.0-38
haskell-auto-update-0.1.6-160
haskell-base-compat-batteries-0.11.2-106
haskell-base-orphans-0.8.4-93
haskell-base16-bytestring-1.0.1.0-44
haskell-base64-bytestring-1.2.0.1-51
haskell-bifunctors-5.5.10-66
haskell-blaze-html-0.9.1.2-107
haskell-blaze-markup-0.8.2.8-13
haskell-byteorder-1.0.4-21
haskell-call-stack-0.3.0-31
haskell-casa-client-0.0.1-258
haskell-casa-types-0.0.2-85
haskell-case-insensitive-1.2.1.0-87
haskell-clock-0.8.2-46
haskell-colour-2.3.5-170
haskell-comonad-5.0.8-80
haskell-conduit-1.3.4.1-14
haskell-conduit-extra-1.3.5-127
haskell-connection-0.3.1-117
haskell-constraints-0.13-12
haskell-cryptohash-sha256-0.11.102.0-29
haskell-cryptonite-0.28-27
haskell-cryptonite-conduit-0.2.2-375
haskell-data-default-0.7.1.1-140
haskell-data-default-instances-dlist-0.0.1-153
haskell-data-fix-0.3.1-23
haskell-dbus-1.2.21-18
haskell-distributive-0.6.2.1-84
haskell-dlist-1.0-76
haskell-edit-distance-0.2.2.1-91
haskell-either-5.0.1.1-147
haskell-enclosed-exceptions-1.0.3-134
haskell-extra-1.7.9-50
haskell-fast-logger-3.0.3-22
haskell-filelock-0.1.1.5-76
haskell-filepattern-0.1.2-117
haskell-filtrable-0.1.6.0-67
haskell-free-5.1.6-34
haskell-fsnotify-0.3.0.1-200
haskell-generic-deriving-1.14-84
haskell-ghc-lib-parser-ex-8.10.0.19-15
haskell-githash-0.1.5.0-112
haskell-glob-0.10.1-76
haskell-hackage-security-0.6.0.1-202
haskell-hashable-1.3.1.0-30
haskell-hi-file-parser-0.1.2.0-3
haskell-hinotify-0.4.1-55
haskell-hourglass-0.2.12-130
haskell-hpack-0.34.4-20
haskell-http-4000.3.16-14
haskell-http-api-data-0.4.3-39
haskell-http-client-0.7.8-1
haskell-http-client-tls-0.3.5.3-410
haskell-http-conduit-2.3.8-22
haskell-http-download-0.2.0.0-270
haskell-http-types-0.12.3-153
haskell-indexed-traversable-instances-0.1-11
haskell-infer-license-0.2.0-131
haskell-invariant-0.5.4-62
haskell-iproute-1.7.11-10
haskell-kan-extensions-5.2.2-15
haskell-lens-5.0.1-4
haskell-libmpd-0.10.0.0-22
haskell-libyaml-0.1.2-130
haskell-lifted-async-0.10.2-9
haskell-lifted-base-0.2.3.12-148
haskell-lukko-0.1.1.3-11
haskell-megaparsec-9.0.1-47
haskell-memory-0.15.0-97
haskell-monad-control-1.0.2.3-148
haskell-monad-logger-0.3.36-73
haskell-mono-traversable-1.0.15.1-127
haskell-mustache-2.3.1-313
haskell-neat-interpolation-0.5.1.2-116
haskell-network-3.1.2.1-49
haskell-network-uri-2.6.4.1-17
haskell-optparse-applicative-0.16.1.0-100
haskell-optparse-generic-1.4.4-52
haskell-optparse-simple-0.1.1.3-150
haskell-pantry-0.5.1.5-12
haskell-path-0.8.0-118
haskell-path-io-1.6.2-74
haskell-pem-0.2.4-162
haskell-persistent-2.11.0.4-13
haskell-persistent-sqlite-2.11.1.0-36
haskell-persistent-template-2.9.1.0-97
haskell-primitive-0.7.1.0-123
haskell-profunctors-5.6.2-17
haskell-project-template-0.2.1.0-103
haskell-quickcheck-2.14.2-152
haskell-random-1.2.0-206
haskell-reflection-2.1.6-80
haskell-regex-applicative-0.3.4-77
haskell-regex-applicative-text-0.1.0.1-97
haskell-resolv-0.1.2.0-84
haskell-resource-pool-0.2.3.2-177
haskell-resourcet-1.2.4.2-79
haskell-retry-0.8.1.2-109
haskell-rio-0.1.20.0-23
haskell-rio-orphans-0.1.2.0-3
haskell-rio-prettyprint-0.1.1.0-106
haskell-safe-exceptions-0.1.7.1-69
haskell-scientific-0.3.6.2-101
haskell-semigroupoids-5.3.5-34
haskell-setlocale-1.0.0.10-1
haskell-shelly-1.9.0-74
haskell-socks-0.6.1-107
haskell-split-0.2.3.4-129
haskell-splitmix-0.1.0.3-100
haskell-streaming-commons-0.2.2.1-77
haskell-strict-0.4.0.1-49
haskell-syb-0.7.2.1-45
haskell-system-filepath-0.4.14-130
haskell-tar-0.5.1.1-56
haskell-tar-conduit-0.3.2-190
haskell-temporary-1.3-251
haskell-text-metrics-0.3.0-133
haskell-th-compat-0.1.2-10
haskell-th-expand-syns-0.4.8.0-10
haskell-th-lift-instances-0.1.18-49
haskell-th-reify-many-0.1.9-44
haskell-these-1.1.1.1-76
haskell-time-compat-1.9.5-49
haskell-tls-1.5.5-21
haskell-transformers-base-0.4.5.2-146
haskell-typed-process-0.2.6.0-111
haskell-unicode-transforms-0.3.7.1-60
haskell-uniplate-1.6.13-53
haskell-unix-time-0.4.7-112
haskell-unliftio-0.2.14-48
haskell-unordered-containers-0.2.13.0-60
haskell-utf8-string-1.0.2-34
haskell-uuid-types-1.0.4-9
haskell-vector-0.12.3.0-7
haskell-vector-algorithms-0.8.0.4-49
haskell-void-0.7.3-87
haskell-x11-1.9.2-69
haskell-x11-xft-0.3.1-156
haskell-x509-1.7.5-141
haskell-x509-store-1.6.7-140
haskell-x509-system-1.6.6-208
haskell-x509-validation-1.6.11-140
haskell-xml-conduit-1.9.1.1-1
haskell-yaml-0.11.5.0-106
haskell-zip-archive-0.4.1-115
haskell-zlib-0.6.2.3-17
hlint-3.2.7-45
hwloc-2.4.1-1
icu-69.1-1
imagemagick-7.0.11.8-1
ipython-7.22.0-1
jasper-2.0.28-1
jdk8-openjdk-8.u292-1
jre8-openjdk-8.u292-1
jre8-openjdk-headless-8.u292-1
js78-78.10.0-1
jupyter-nbclient-0.5.3-1
jupyter-nbconvert-6.0.7-3
jupyter-nbformat-5.1.2-2
kaccounts-integration-21.04.0-1
kactivities-5.81.0-1
kactivities-stats-5.81.0-1
kactivitymanagerd-5.21.4-1
karchive-5.81.0-1
kauth-5.81.0-1
kbookmarks-5.81.0-1
kcmutils-5.81.0-1
kcodecs-5.81.0-1
kcompletion-5.81.0-1
kconfig-5.81.0-1
kconfigwidgets-5.81.0-1
kcontacts-1:5.81.0-1
kcoreaddons-5.81.0-1
kcrash-5.81.0-1
kdbusaddons-5.81.0-1
kde-cli-tools-5.21.4-1
kde-gtk-config-5.21.4-1
kdeclarative-5.81.0-1
kdeconnect-21.04.0-1
kdecoration-5.21.4-1
kded-5.81.0-1
kdelibs4support-5.81.0-1
kdenlive-21.04.0-1
kdeplasma-addons-5.21.4-1
kdesu-5.81.0-1
kemoticons-5.81.0-1
kfilemetadata-5.81.0-1
kgamma5-5.21.4-1
kglobalaccel-5.81.0-1
kguiaddons-5.81.0-1
kholidays-1:5.81.0-1
khotkeys-5.21.4-1
ki18n-5.81.0-1
kiconthemes-5.81.0-1
kidletime-5.81.0-1
kinfocenter-5.21.4-1
kinit-5.81.0-1
kio-5.81.0-1
kirigami2-5.81.0-1
kitemmodels-5.81.0-1
